ID,User,UserLocation,TweetText,Sentiment
35,AntifaCruzeiro,Belo Horizonte,  Esses documentos não tem assinatura do Lula são factóides e delações não tem nada concreto nada nada zero. CHOOORA DERROTADO É LULA POHA! SAI ELITES OPRESSORAS É OS MAIS POBRES NO PODER,0
36,DoceVampiro1313,, É mesmo? Você faz parte da equipe de Lula e por isso está trazendo essa informação? Ou é só má fé mesmo? Vai viver sua vida rapaz. Ninguém aguenta mais vocês.,0
37,Leandro60788579,,O Lula é mais perigoso ao mundo que Lenin! O jeito de propagar o comunismo com ares de salvador dos pobres e das minorias é muito mais devastador!,0
38,jsudoestebahia,Brumado-BA,"Governo Lula terá 37 ministérios, diz Rui Costa ",0
39,JAFE21,," Reinaldo, você é igual ao Lula, não tem caráter.",0
40,Ricardo49845540,"Bragança Paulista, Brasil"," PGR Randolfe Gazela, o Gilmar Liberta Mendes já fizeram o papel do ministério público e do congresso e tiraram o Bolsa Lula do cofre e esparramaram nesse conluio de passivo x ativo.",0
41,Ary_AntiPT,Brasil,Cabral diz que Lula fez pedido que rendeu R$ 30 milhões a Lulinha  via    Lembro que o tRF 4 MANDOU a investigacao para Sao Paulo.   ,0
42,edsonevan69,," Ela não recebeu mais sai com Cabeça Erguida, Seu Papai vai ficar de mi-mi-mi, não 👎 somos Psicólogo kkkk Pedeu Mane vida segue roda gira Lula lá agora aceita que dói menos ➖️ ➖️ ➖️ Nem distribuição de dinheiro 💰 público pra Caminhoneiros e táxi 🚕 conseguiu ganhar do ex .",0
43,pedromassot,"São Paulo, Brasil", Será que ela está doente? Está morrendo? Pra e admitir que o Lula roubou é os riscos... olha impressionante Mirian... acho que Deus iluminou sua cabeça,0
44,rs_vhf,Nas velas do Mucuripe ...,"  Ele está assistindo o Lula manter o orçamento secreto e reeleger o Arthur Lira, imitando o Bolsonaro.",0
45,DemocraciaBr_,Brasil,"  Acho que se Lula começar com muita ênfase em melhorar a vida do pobre, o ""mercado"" logo vai reclamar. Tem que haver um desmame da desigualdade... rs",0
46,Christi29603105,🇧🇷," 2016 Em meio a protestos anti-impeachment, Gilmar Mendes suspende posse de Lula.  ",0
47,Rocha882022,," Isso é tudo combinado, gente!  A intenção da mídia agora é bater no Lula pro povo ficar revoltado e pedir pra ele sair. Logo, o Alckmin irá tomar o poder! O Xandão não está fazendo tudo isso atoa. Se ele abrir mão de qq coisa, o Nine não entra e será o fim do PSDB.",0
48,felipern6,"São Gonçalo, Brasil"," Não esperava a carta Lula+STF ser usada contra o congresso antes do mandato começar. Pelo menos não perderemos tempo aturando o teatro Lula/Lira/Pacheco por muito tempo.   E na direita está tudo normal, já tem deputado falando em reforma do judiciário. Tudo dentro das 4 linhas!!!",1
49,ElaineQBFreire,Brasil,  Lula deixa de ser refém de Lira.,0
50,SrgioDonizeti1,, ESTÁ TUDO ERRADO NESSE PAÍS DE PODRIDÃO MORAL ULTIMAMENTE AONDE O LULA CHEIOS DE PROCESSOS POR CORRUPÇÃO ESTÁ AFETANDO O BRASIL SEM TER ASSUMIDO AINDA KKKKK ,0
51,Vivendopraver,"São Paulo, Brasil"," Você também, ninguém é imune a morte, uns farão muita falta, outros nem tanto, se a morte do Lula seria um milagre pra você, talvez a sua, não faria diferença no mundo, você nem existe. Então o milagre é relativo. O Lula seria lembrado pelo mundo inteiro, enquanto você 🤷",0
52,GueirosNeemias,,"Quer dizer que Gabriel Chalita, sócio no escritório de advocacia da esposa do ministro Alexandre de Moraes, foi dirigente de campanha da chapa Lula/Alckiman? Agora está pleiteando um ministério no governo? Tudo normal no reino do Xandaquistão.",1
53,CarlosMoraes19,"Florianópolis, Brasil",Alguém tem alguma dúvida sobre quem negociou isto? Centrão e Lira nas cordas. Lula gênio. ,0
54,ckmascarenhas,"Feira de Santana, Brasil","  Bom, ao menos já é alguma coisa positiva. Ontem Lula teve mais uma reunião com Lira, espero que consiga fazer as jogadas políticas necessárias sem ter que ceder ministérios como o Lira quer",0
55,leonardobp10,"Imperatriz, Brasil", Lula e o STF te transformou em uma figura decorativa,0
56,Vida1Esperanca,," Isso mesmo senhor Lula!! Cuidando do Brasil e não havendo roubos, corrupção, destruição das famílias e da moral. Só com pessoas honestas e do bem é que uma nação vence. Honre o seu lugar e seja correto para todos!!!",0
57,hernandobn,,"Fadado ao fracasso, ""sonho"" de Lula e Haddad deixa o povo aterrorizado ",0
58,karindelrio2904,"São Paulo, Brasil",Lula ,0
59,FilAirton,Rio de Janeiro.,"#ComunismoNuncaMais   Lula aciona um comunista para ""sufocar"" CACs e ""desarmar"" o Brasil ",0
60,ElisamaBrajao,"Rondônia, Brasil"," O Lula vai destruir esse país, quem apoia é cúmplice.",0
61,mc334998,, Esse  papá  e OUTRO  LULA   porque ele  não   PEGAR a riqueza    e  não  da aos  pobres,0
62,EdilsonSantos7,,Armadilha para Lula está pronta - Semana do Tudo ou nada  (compartilhem)  via ,0
63,FD0g6aaGenTtKHV,, Lula ladrão seu lugar e na prisão,0
64,TeresaAlbuque14,"Recife, Brasil"," Há tempo venho alertando ser pueril a esperança de qualquer oposição minimamente efetiva por parte do Congresso, durante um novo governo de Lula. Se ele não pode decidir nem sequer orçamento, por que decidiria qualquer outro tema?",0
65,jacksonjpsdb,Teresina Piauí Brasil,Toffoli pede perdão a Lula. ,0
66,ErickManenti,, Ele pode ter falado não. Como de fato não sobe. Mas o lula foi descondenado. Teoricamente não é mais bandido. Então.... Subirá a rampa infelizmente,0
67,Danilo_acf,, Mesa de madeira quer dizer que o pau vai cantar. A manteiga significa que o Lula vai tomar no koo kkkkkkk,0
68,afrojuzi,,Essa será a realidade com lula como meu presidente ,0
69,Gerusa62855370,"São Paulo, Brasil","Bolsonaro está perdendo a sanidade, a medida que se aproxima a posse do presidente Lula. O Bozo está vivendo em um mundo paralelo, onde ele ganhou as eleições. ",0
70,geraldoaraujo60,,"O STF, através de Gilmar Mendes, retirou do teto de gasto as despesas com o Bolsa Família em 2023, impedindo a chantagem do Centrão com o Lula para aprovar a PEC. Mais uma vitória do povo.",0
71,ElisQueridinha,,"    Mas oh....... Mesmo com todo boicote da esquerda, o Brasil cresceu Pesquisa sem a voz do Bonner Mas tenho outra..... Não vai ter dinheiro pra Papai Lula cuidar dos filhos né .  Pai dos Pobres🥰 Cuidou tanto do Nordeste esse tempo todo, que a transformou em Dubai.  Observe",0
72,Nadison001,," Estou dizendo, o STF irá governar o Brasil com o Lula, na verdade, com o Lula eles sempre vão poder fazer o que sempre quiseram, mandar, ditar regras!!",0
73,SoniaPalhares,Brasília - DF,O gado não chegará sequer perto da Esplanada dos Ministérios no dia da posse de LULA!!! A Mancha Verde e a Gaviões da Fiel está vindo em massa para Brasilia!!! Vão encarar??? Essa eu quero ver!!! 😂😂😂,0
74,marciods,Florianopolis," Então já pode tirar ele de la, porque com essa fala sobre Lula, com certeza esta com problemas mentais.",0
75,Maedeum2,," É até engraçado ver esse Lira e o Pacheco se acharem mais espertos q as raposas, Lula e STf. Quem são esses caras pra achar q podem peitar esse povo mais q corruptos? Uns bobões,devem estar rindo da cara deles. Agora vem chorar c a gente patetas",0
76,BARUCHPINOO,,"  E as 700 mil mortes que teu amado presidente futuro presidiário deixou morrer? E a comemoração da morte de Dona Letícia, e do Paulo Gustavo e por aí vai, hipócritas são vocês seu comedores de capim. Lula foi eleito e tomará posse aveyta que dói menos.",0
77,jaisonricardo,," Logo, STF e TSE terão ainda mais SUPER PODERES. Câmara e Senado se tornarão inúteis. Lula terá a maior FACILIDADE $$$ de sua história para governar. Estão todos sedentos $$$",1
78,cideriams1,,"Com Lula, ela quer destruir o Brasil! Esse sorrisão aí é a garantia da têta ",0
79,Marlyalvesfs,,"Parabéns Sr presidente Lula e Janja,esperamos que tudo venha dar certo com o nosso Brasil 🇧🇷 a nossa querida Bandeira verde e amarela irá voltar a ser feliz novamente, o Brasil precisa de presidente e outros políticos que não roubem a Nação brasileira, será feiose isso acontecer ",0
80,flo8ra,farol#7353,essa noite sonhei q o bob esponja e o lula molusco eram assassinos e queriam me matar,0
81,tigrao224920,"Taubaté, Brasil","  jair você é um subletrado, corrupto, psicopata e VAGABUNDO ja chupar um ""pirulito"" e apodreça logo seu defunto fétido. Xandao vai lhe colocar na cadeia canalhao. ",0
82,jane_yeshua,Brazil," Se tiver sorte, quem sabe 2026, agora engole o Lula por 4 anos",0
83,DemocraciaBr_,Brasil,  Acho que Lula devia dar um jeito de se filiar ao PSDB. Aí finalmente a mídia iria vê-lo com bons olhos. Rs,0
84,HANS_BODOLZA,"Rio de Janeiro, Brasil",Lula e Lira definem o preço da PEC da Gastança ,0
85,vcostacontos,Brasil,Atenção: faltam 13 dias para Lula tomar posse e dar início a uma (nova) era de prosperidade (principalmente na área social).,1
86,JoelmaMaleoj,,"  Isso é um absurdo,quanto inaceitável. Fora que isso já aconteceu na história do Governo Lula. ",0
87,Isabelramos1974,Brasil,"   Mas te informar o IMBECIL, Bolsonaro é o primeiro presidente a deixar o país no azul, vc acha que estão tirando benefícios do povo pq sua anta? Pra sobrar dinheiro e poderem roubar mais, eu não entendi como existe gente tão burra que acredita nesse Lula bandido, corrupto 🤮",0
88,jorgeritchie,Rio de Janeiro,"Por aí se especula Que o 13 nos dá sorte E dá, pois aí vem Lula Venha e nos reconforte! Por sinal só faltam treze 13 dias e não meses Pra um Brasil feliz e forte  #cordelDaContagemRegressiva #365VersosAteAposse #Lula #TicTac #contagemregressiva #13dias #LulaPresidente #cordel",0
89,emanoelseabra,"Natal, Brasil",Gilmar decide que recursos do Bolsa Família estão fora do teto de gastos e reduz pressão contra o governo Lula ,0
90,tudocda,,Toda vez que alguém fala que o lula é musiquer ele está chorando com 3 felipe netos em brasilia 😂😂😂,0
91,valdemarpaiva1,,"CONGRESSO CANCELADO Em mais uma decisão estritamente política além de esdrúxula, o STF, visando favorecer o novo governo Lula, do qual é fiador, dá um By-Pass no Congresso Nacional estuprando e praticamente pondo fim ao teto de gasto. ",0
92,gillycoltt,Brasil,"Lula,chau,chau,vai pro xilindró! ",0
93,jaisonricardo,," Logo, STF e TSE terão ainda mais SUPER PODERES. Câmara e Senado se tornarão inúteis. Lula terá a maior FACILIDADE $$$ de sua história para governar. Estão todos sedentos $$$",1
